text,label,rating
olilar,pos,5
супер,pos,5
Menga yoqmadi qaytarishni xoxlayman,neg,1
Yaxshi ekan,pos,5
класс,pos,5
zor,pos,5
boladi zoor  uyime  deyin  keldi  besplatniy,pos,5
телефон яхш ишлавоти узум маркетга рахмат,pos,5
yaxshi samsung A seriyasidan ALO.,pos,5
redmi telefonlari yaxshi boʻladi,pos,5
Olishilarni tavsiya qilaman,pos,5
juda ajoyib sovg'a uchun,pos,5
hammaga tafsiya  qilaman,pos,5
Спасибо продавцу и Узум,pos,5
Tavsiya beramiz 🔥,pos,5
tavsiya beraman,pos,5
Tavsiya qilaman,pos,5
Yahshi telefon,pos,5
Tafsiya etaman,pos,5
Yoqdi raxmat,pos,5
все отлично,pos,5
Удобный.,pos,5
Класс,pos,5
zoʻr,pos,5
zur,pos,5
zor,pos,5
Ishonchli narxiga arzidigan telefon,pos,5
очень хороший телефон. Понравился,pos,5
telefon yaxshi puliga yarasha,pos,5
tafsiya qilaman boshqalarha,pos,5
Zo‘r gap bulish mumkinmas,pos,5
zor tez va yengil ishlidi,pos,5
uzum market judayam qulay,pos,5
raxmat ishlarizga rivoj,pos,5
Olib ishlatishga kerak,pos,5
яхши ишлаб турибди,pos,5
Vashe bomba tezlik juda zor kamer shunaqa tiniq zaryatasi xam zor zor iphonedan qolishmidi ishonila vapshe,pos,5
uzum market ga rahmat juda qulay va arzon ekan narxiga arziydi ayniqsa sovgʻaga juda mos uyaltirmidi,pos,5
"Ески номерим тушмади, юсел тушти янги номер олишга тоғри кевоти. Нега симкарта танлоди телефон?",pos,5
Telefonni quvati tugagach nechi soat qoyish kerak 8 soatmi yoki 16 soatmi. Izoh kutaman rahmat,pos,5
aynan shu gʻijduvondagi uzumda buyurma topshiruvchilani umuman muomilasi yoooq,pos,5
uzum market arzon va tez ishonchli ekan ayniqsa pasport so'ramaydi shu zo'r,pos,5
zaryadnik va cheholi bilan keldi. Haridim uchun xursandman.,pos,5
tavsya qlaman zor ishlidi zaratkasyam ancaga yetad💗,pos,5
Я очень рада мне очень нравится огромное спасибо,pos,5
karobkada hamma narsasi bor ekan juda ajoyib,pos,5
qanday bogʻlansam buladi qaytaraman,neg,1
спасибо огромное узум быстро доставили. купили для сына очень обрадовался,pos,5
Ассалому алейкум Узум жамоаси ва сотувчиларига Рахмат! Тавсия киламан,pos,5
IMEI dan otgan xammaga tavsiya beraman olila rangi juda yoqdi,pos,5
hoʻjeynimga tugʻilgan kunlariga olganidim lekin qizim hursand,pos,5
ало даражада ишлаши яхши котиб ишласа керак деб уйлагандим,pos,5
Sovğa qilish uchun xarid qildim. Olishni tavsiya qilaman.,pos,5
mengaham yoqdi juda chiroyli telefon ekan tavsiya qilaman,pos,5
upakovkasi judayam yaxshi keldim hamma narsasi joyida,pos,5
онама совга килдим онам хурсанд узум маркетка Рахмат.,pos,5
Сегодня купила дочке очень рада вроде бы нормальный,pos,5
telefonni tavsiya etaman,pos,5
Tavsiya qilaman hammaga,pos,5
hammaga tavsiya etaman,pos,5
Tavsiya qilaman,pos,5
alo darajada,pos,5
отлично,pos,5
yaxshi,pos,5
Zur,pos,5
o'ylaganimdan ham zoʻr uzum market rahmat 👍👍👍👍,pos,5
Oʻylanmasdan bemalol harid qilishingiz mumkin,pos,5
"Яхши телефон экан, очилмаган каропкада келди",pos,5
быстрое доставка телефон сестры понравилось,pos,5
Sifatli keldi juda yaxshi holatda rahmat❤️,pos,5
"Яхши тел экан, тавсия киламан олорила.",pos,5
menga boģlaning iltimos tel 990352402,pos,5
