text,label
sovgʻa uchun rahmat,pos
menga yoqdi,pos
ишлаши зўр фақат гарантя талони қандое олишни билмаяпман,pos
Яхши олила. Болларим хурсанд. Узумга рахмат. Ишларинга омад,pos
lekin sichqonchalarga gap yoq,pos
tavsya qlaman zor ishlidi zaratkasyam ancaga yetad💗,pos
Olishilarni tavsiya qilaman,pos
KoÔrinishi arzon.,neg
Juda sekin ishlaydi.,neg
быстрое доставка телефон сестры понравилось,pos
rosa katta bolarkan bemalol kicikrogini zakaz qsa bolarkan,pos
Хакан Менгучнинг КУП китобларини укидим факат Туркча нашрда. Узбек тильда хам чиканидан хурсандман!!! Спасибо 🙏,pos
"Dubai,ANC va Premium turdagilarini ham ishlatib ko'rdim bu xaridimdan so'ng narx arzon yoki qimmatligi ayrim joylarda ahamiyatsizdek ko'rinib qoldi. Mahsulotga gap yo'q.",pos
"Манга йокди , жуда чиройли ва сифатли нархиям жуда арзон",pos
"Всё шикарно, подошло!!!",pos
olishilari maslahat beraman sotuvchiga uzumga kattakon rahmat savdoyilari barakasini bersin🤝,pos
omad,pos
organ pulimga arzidiyu leaking shu taxlaganga yarasha sifatliroq chiqarila,neg
zaryadnik va cheholi bilan keldi. Haridim uchun xursandman.,pos
Birinchi marta bunaqa kiimoshina ishlatyabman lekin juda ham ishni yengil qilarkan avval yarimavtamat ishlatardim bu juda yaxshi ekan ayniqsa shovqinsiz ham qulay,pos
opkelish Kerner yoqmad kechas opkeld tongilab gapird bzaga,pos
afsuslanmiman menga juda koʻp narsnai oʻrgatti bu kitibni har bir oʻsmir yoki yoshi kattalar oʻqishini tavsiya qilaman,pos
"Взял на замену старому пылесосу, теперь уборка быстрее👍👍",pos
A4 qog'oz yaxshi arzon. ammo pachka ichida hammasi shunaqa chiqyapti.,pos
спасибо большое цена шикарная классно работает,pos
"Ekrani xira, hech narsa koÔrinmaydi.",neg
ishlashi zor puliga 100% arziydi,pos
хорошая бумага для офиса или для дома детям она бежевого цвета как сверху обложка,pos
Узумга рахмат,pos
Rasmga aldanib oldim.,neg
"Sifatsiz Xitoy mahsuloti, arzimaydi.",neg
Олши тафсия кламан айфонгаям болад уласа,pos
bizga juda yoqdi sfati ham yaxshi ekan bolajonim juda xursand buldi❤️,pos
"Спасибо узум марку,за доставку, помогли поднять машинку до дверей",pos
bemalol xarid qiling❤️❤️ uzumga raxmat,pos
tavsiya qilaman,pos
kattakon rahmat pilisosimga juddayam yahshi tushti judda ishlavoti. Uzumga omad.,pos
"Qadoq ichidan bir detal chiqmay qoldi, toÔliq emas edi.",neg
Sifatli ekan olishni tavsiya qilaman,pos
tavsiya qilaman mazzaqib o'ynab yurubdi o'g'lim,pos
"Juda shovqin chiqaradi, uyda ishlatishga noqulay.",neg
hammaga tafsiya qilaman juda zoʻr ekan,pos
Ishlatishga noqulay.,neg
tavsiya qilaman,pos
"Видимо, HEPA фильтр реально работает.",pos
Очень хорошее,pos
zor tez va yengil ishlidi,pos
Спасибо Узум,pos
Выглядит круто),pos
sila ham olila chotki uzum marketga rahmat addushi❤️✊🏻,pos
Tavsif bilan umuman mos emas.,neg
яхши зур ишлаяпти,pos
Kafolat qog’ozi bo’sh ekan iltimos to’ldirib berila,pos
Работает очень хорошо,pos
A4 qog'oz yaxshi arzon. ammo pachka ichida hammasi shunaqa chiqyapti.,pos
tavsiya qilaman yosh onalarga. oʻgʻlim qoʻlidan qoʻymay oʻyanayapti. uzumga rahmat👍💣,pos
kongildagiday,pos
тавсия қиламан,pos
olishiylarni maslahat beraman yana bitta zakaz qilyapman men,pos
ассалому алайкум бугун клео музлатгичини олгандим ишламаябди устасини жунатасиларми .янгисига алмаштириб беринг музлатгичга ишониб 80кг гушт олганман айниб кетади. кайирга мурожат килсам хам аник жавоб ололмадим.бирак нарсани берибди.,pos
kitob ga gap yoʻq,pos
Bu quloqchinni olganimdan xursandman! ❤️‍🔥👍,pos
яхши уралган келди,pos
"Pulga arzimaydi, bundan koÔra bozorga borib olgan maÕqul.",neg
Eyyy Oʻzbekiston aholisi bu kitobni oqib chiqin ilik 10 varogini oʻzi sizni hayratda qoldiradi,pos
ажойиб зўр хамага тафсия қиламан,pos
tavsiya etama,pos
"Menga yoqdi, boshqalarga ham tavsiya beraman",pos
bemalol xarid qiling❤️❤️ uzumga raxmat,pos
Ishonchsiz va chidamsiz.,neg
vapshe zur oyoq kiyim ekan👍lekin olishdan oldin bir rasmer kichkinasidan olilar uzinglardi razmerlaring katta kelarkan,pos
зор ишлашиям жуда яхши. хеч каери кирилмаган чизилмаган.,pos
Uzum market-Вы супер,pos
Ishlatish uchun qulay va kichik oila uchun ajoyib tanlov,pos
Bolalik hotirlalarni eslatuvchi ajoyib o'yinchoq farzandlarimzga qo'shilib o'ynayapmz. Uzum market jamoasiga katta raxmat,pos
olinglar,pos
Чотка,pos
yaxshi holatda yetib keldi rahmat kottakon,pos
"Juda sifatsiz, rasmda boshqa, kelganida butunlay boshqa chiqdi. Umuman yoqmadi, pulga arzimaydi.",neg
отличные всем советую,pos
buyurtma berganmda 2kunda keladi diyilgandi lekin ertasi kuni keldi zor,pos
Tavsiya qilaman,pos
Xuddi rasmdagidek.Tavsiya qilaman.,pos
tavsiya beraman,pos
"Ески номерим тушмади, юсел тушти янги номер олишга тоғри кевоти. Нега симкарта танлоди телефон?",pos
Sinib keldi.,neg
"Kitob sifati zo'rakan, o'qib ko'rdim judayam zo'r kitobikan ,maslahat beraman 🫠😘",pos
Bu quloqchinni olganimdan xursandman! ❤️‍🔥👍,pos
Kutganimday keldi,pos
raxmat. butun yetib keldi. menga yoqdi,pos
ishlatvomiza yaxwi uzumga raxmat,pos
"Bir hafta ham ishlamadi. Birinchi kun normal edi, keyin oÔzi oÔchib qola boshladi. Pulimga juda achindim.",neg
Tavsiya qilamn,pos
olishga arziydi puliga stout narsa,pos
maslahat beraman,pos
Arzon mahsulot.,neg
Совгаям чикди ичидан. Тавсия киламан хаммага.,pos
"Удобная ручка, мягко ездит по полу. Шнур сам убирается быстро, механизм не клинит.",pos
классные кроссовки. спасибо.,pos
Menga yoqmadi qaytarishni xoxlayman,neg
Xammaga tafsiya berman,pos
O'qituvchilar uchun juda kerakli,pos
Kutganimdan yaxshiroq chiqdi! Tavsiya qilamiz.,pos
shunaqa kod chqyabdi kelib ornatib bermas ekan,neg
Bir marta ishlatib boÔlmadi.,neg
Juda noqulay dizayn.,neg
овози пас.зур.манга екти.ювилиши тоза.тавсия киламан,pos
"Доимий ишлатаман гречкани. Каша, котлет кўринишида тайёрлайман. Манга ёқади. Сотувчига ва Узум га раҳмат. Тез ва сифатли келди.",pos
zo'r kitob muqovalari yirtilmagan Qattiq betli olishni tavsiya beraman,pos
Yaxshi ekan. rangi koʻzni ogʻritmaydi,pos
hammasi kutganimdek,pos
Жуда зўр,pos
"OÔlchami notoÔgÔri, tanlashda aldanganman.",neg
"Подставка из металла, и в местах, на которые ноутбук опирается, есть резиновые накладки, поэтому корпус не поцарапается. Стоит достаточно устойчиво, не шатается. Определённо стоит своих денег",pos
"Juda tez eskirib ketdi, tashqi koÔrinishi ham yomonlashdi.",neg
"Juda yengil, sifatsiz.",neg
qulay,pos
hammaga tafsiya qilaman,pos
"пока работает отлично,дальше посмотрю",pos
pilisósimga qolipdek tushti raxmat uzumga,pos
Хорошо работать,pos
tafsiya qlaman olila narxlari arzon ekan,pos
"пластиковая качественный без запаха,твёрдый,20 магнитных шарика,всё как в описании.спасибо производителю и uzum .",pos
Zo‘r gap bulish mumkinmas,pos
боламга ёкди узум маркетга Рахмат акция доим Давом этсин,pos
olilar,pos
"Жудаям сифатли йетиб келди, овозиям чётки, 2 та кабели +чехоли бор экан жуда хурсанд болдим, тем более оригинал экан,бу нархга бозордан Оригиналини топиш кийин, Тавсия бераман бемалол олаверинглар",pos
bu kitobni men yoqdirdim,pos
OÔlchami notoÔgÔri.,neg
Tez qizib ketadi.,neg
Har taraflama ma’qul,pos
tavsiya qilaman,pos
Vashe zor tafsiya qlaman,pos
Umuman yoqmadi.,neg
"Спасибо Узуму за качественные товары,отлично упакован и сам продукт качественный",pos
Yetkazishda shikastlangan.,neg
boladi zoor  uyime  deyin  keldi  besplatniy,pos
тавсия киламан расмда курсатилганидек келди,pos
Bir detal yetishmadi.,neg
Manga rossa yoqdi eng muhimi qo'lda yuvmayapman mazza ovozi past zo'r.,pos
zor,pos
Широкая насадка быстро собирает мусор.,pos
mengaham yoqdi juda chiroyli telefon ekan tavsiya qilaman,pos
"Жуда хам зур, вактида етиб келди, сотувчиларга рахмат👍",pos
рекомендую к покупке.,pos
zur,pos
kutganimdan ham yaxshi keldi,pos
очень хороший товар мне очень понравился,pos
"Juda arzon koÔrinadi, sovgÔaga ham uyat.",neg
Tavsiya qilaman zo'r kitob ekan,pos
яхши зур ишлаяпти,pos
aytilgan vaqtda keldi  yaxshi kitob s,pos
"Очень хорошая гречка. Всегда покупаем. Нам очень нравится, 
Удачи продавцу",pos
oʻqib tugatdim juda zoʻr kitob hammaga tavsiya qilaman ✨,pos
Vashe bomba tezlik juda zor kamer shunaqa tiniq zaryatasi xam zor zor iphonedan qolishmidi ishonila vapshe,pos
"хорошие кроссовки, немного маломерят",pos
Tavsiya qilaman olila❤️,pos
Rasmdagidek keldi.Uzum marketga rahmat.,pos
zõr ekan huddi uziniki dek,pos
"tafsiya qilaman oliwga 
zur",pos
Tafsiya qilaman,pos
жуда кичкина экан кайтардим каттамидан олишни макушку курдим,pos
juda zur xamyonbop narxda sifatli keldi rahmat,pos
тавсия кламан,pos
Я очень рада мне очень нравится огромное спасибо,pos
"Juda ogÔir, ishlatish noqulay.",neg
"Претензий пока нет , так как куплено в подарок на НГ ребенку.",pos
"Машинка супер, установили все по инструкции 
Стирает отлично и очень тихо, отжим хороший(почти сухие вещи)",pos
Bir necha kundan keyin hid chiqara boshladi.,neg
sifatli oyoq kiyim omoxchi bòsela tavsiya qilaman. puliga arziydi,pos
tavsiya qilaman,pos
Yaxwi 1 iwlawi zorrr lekin zor tortarkan lekin ovozi rosa baland ekan Raxmat kotakon sifatli yetb keldi,pos
Sifat nazorati yoÔq.,neg
ozgina kichkina ekan,pos
tavsiya qilama,pos
puliga yarasha,pos
"Все отлично, очень качественные часы , спасибо большое",pos
